model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Aygo,2018,9395,Manual,8951,Petrol,145,68.9,1.0
 Aygo,2017,6995,Manual,41562,Petrol,145,68.9,1.0
 Aygo,2017,8395,Semi-Auto,11379,Petrol,0,67.3,1.0
 Aygo,2017,8195,Manual,11669,Petrol,0,68.9,1.0
 Aygo,2019,10382,Semi-Auto,6774,Petrol,150,55.4,1.0
 Aygo,2019,9295,Manual,5,Petrol,145,56.5,1.0
 Aygo,2019,9295,Manual,10,Petrol,145,56.5,1.0
 Aygo,2017,8998,Manual,16376,Petrol,145,68.9,1.0
 Aygo,2017,7395,Manual,27577,Petrol,0,69.0,1.0
 Aygo,2014,5600,Manual,31294,Petrol,0,69.0,1.0
 Aygo,2017,7998,Semi-Auto,9775,Petrol,0,67.0,1.0
 Aygo,2019,9295,Manual,5426,Petrol,145,57.7,1.0
 Aygo,2019,10495,Semi-Auto,301,Petrol,145,56.5,1.0
 Aygo,2019,9495,Manual,1723,Petrol,145,57.7,1.0
 Aygo,2019,10495,Manual,10,Petrol,145,57.7,1.0
 Aygo,2018,7298,Manual,28601,Petrol,150,69.0,1.0
 Aygo,2018,6798,Manual,28809,Petrol,150,69.0,1.0
 Aygo,2019,8998,Manual,7212,Petrol,150,56.5,1.0
 Aygo,2019,8998,Manual,5104,Petrol,150,56.5,1.0
 Aygo,2019,9998,Manual,6099,Petrol,150,56.5,1.0
 Aygo,2017,7795,Manual,13991,Petrol,150,69.0,1.0
 Aygo,2018,7998,Manual,8224,Petrol,145,56.5,1.0
 Aygo,2016,6995,Manual,12380,Petrol,0,69.0,1.0
 Aygo,2014,5998,Manual,25127,Petrol,0,69.0,1.0
 Aygo,2019,8798,Manual,12564,Petrol,145,56.5,1.0
 Aygo,2018,9995,Manual,15514,Petrol,150,56.5,1.0
 Aygo,2018,8995,Manual,4454,Petrol,150,56.5,1.0
 Aygo,2018,8195,Manual,20205,Petrol,145,68.9,1.0
 Aygo,2018,8995,Manual,13114,Petrol,145,56.5,1.0
 Aygo,2019,9495,Manual,9114,Petrol,145,56.5,1.0
 Aygo,2017,7495,Manual,23114,Petrol,145,68.9,1.0
 Aygo,2017,7490,Manual,12844,Petrol,145,68.9,1.0
 Aygo,2018,7498,Manual,23861,Petrol,145,56.5,1.0
 Aygo,2019,8998,Manual,11204,Petrol,145,56.5,1.0
 Aygo,2017,7195,Manual,28843,Petrol,150,69.0,1.0
 Aygo,2017,7850,Manual,14086,Petrol,0,68.9,1.0
 Aygo,2018,8699,Manual,13278,Petrol,145,68.9,1.0
 Aygo,2019,9999,Manual,1500,Petrol,145,56.5,1.0
 Aygo,2019,9999,Manual,1500,Petrol,145,56.5,1.0
 Aygo,2017,8250,Manual,15000,Petrol,0,68.9,1.0
 Aygo,2017,7800,Manual,23000,Petrol,150,68.9,1.0
 Aygo,2017,7750,Manual,31947,Petrol,0,69.0,1.0
 Aygo,2017,8000,Manual,30000,Petrol,0,68.9,1.0
 Aygo,2016,6800,Manual,7385,Petrol,0,69.0,1.0
 Aygo,2017,7282,Manual,16125,Petrol,0,68.9,1.0
 Aygo,2017,6840,Manual,24036,Petrol,145,68.9,1.0
 Aygo,2014,7140,Semi-Auto,44103,Petrol,0,67.0,1.0
 Aygo,2017,7499,Manual,15000,Petrol,145,69.0,1.0
 Aygo,2016,7850,Manual,25332,Petrol,0,69.0,1.0
 Aygo,2017,7395,Manual,27000,Petrol,150,68.9,1.0
 Aygo,2017,9995,Semi-Auto,15311,Petrol,150,67.3,1.0
 Aygo,2014,5999,Manual,18478,Petrol,0,69.0,1.0
 Aygo,2014,6060,Manual,13100,Petrol,0,69.0,1.0
 Aygo,2016,6270,Manual,31060,Petrol,0,69.0,1.0
 Aygo,2016,6380,Manual,9300,Petrol,0,69.0,1.0
 Aygo,2017,7250,Manual,19000,Petrol,0,68.9,1.0
 Aygo,2017,7498,Manual,22558,Petrol,150,68.9,1.0
 Aygo,2016,7999,Manual,36533,Petrol,0,69.0,1.0
 Aygo,2015,6240,Manual,9749,Petrol,0,69.0,1.0
 Aygo,2016,6770,Manual,8642,Petrol,0,69.0,1.0
 Aygo,2018,9495,Manual,7500,Petrol,150,56.5,1.0
 Aygo,2016,7999,Manual,32082,Petrol,0,69.0,1.0
 Aygo,2017,6995,Manual,15747,Petrol,0,69.0,1.0
 Aygo,2016,5999,Manual,23887,Petrol,0,69.0,1.0
 Aygo,2017,7400,Manual,5985,Petrol,0,69.0,1.0
 Aygo,2016,6995,Manual,17545,Petrol,0,69.0,1.0
 Aygo,2018,7995,Manual,27111,Petrol,145,68.9,1.0
 Aygo,2018,9995,Manual,2779,Petrol,150,68.9,1.0
 Aygo,2017,9295,Semi-Auto,21000,Petrol,150,67.3,1.0
 Aygo,2018,8295,Manual,14998,Petrol,145,69.0,1.0
 Aygo,2017,7695,Manual,21689,Petrol,145,68.9,1.0
 Aygo,2018,8495,Semi-Auto,9162,Petrol,145,67.0,1.0
 Aygo,2019,8995,Manual,3626,Petrol,145,57.7,1.0
 Aygo,2017,7695,Manual,21844,Petrol,145,68.9,1.0
 Aygo,2017,7495,Manual,30266,Petrol,145,68.9,1.0
 Aygo,2017,6900,Automatic,47814,Petrol,145,67.0,1.0
 Aygo,2016,6720,Manual,22761,Petrol,0,69.0,1.0
 Aygo,2016,7195,Manual,19998,Petrol,0,69.0,1.0
 Aygo,2019,9195,Manual,9623,Petrol,145,57.7,1.0
 Aygo,2017,5995,Manual,37500,Petrol,0,69.0,1.0
 Aygo,2019,9000,Manual,6800,Petrol,145,56.5,1.0
 Aygo,2016,8300,Manual,16530,Petrol,0,69.0,1.0
 Aygo,2017,8295,Manual,14869,Petrol,145,68.9,1.0
 Aygo,2018,8389,Manual,6660,Petrol,145,56.5,1.0
 Aygo,2017,7190,Manual,23437,Petrol,145,68.9,1.0
 Aygo,2016,7995,Semi-Auto,33228,Petrol,0,67.0,1.0
 Aygo,2017,8789,Semi-Auto,24980,Petrol,145,67.3,1.0
 Aygo,2016,9288,Semi-Auto,7678,Petrol,0,67.0,1.0
 Aygo,2019,11495,Manual,10699,Petrol,145,57.7,1.0
 Aygo,2018,7072,Manual,5688,Petrol,145,69.0,1.0
 Aygo,2017,6488,Manual,37560,Petrol,0,69.0,1.0
 Aygo,2017,6995,Manual,16511,Petrol,0,69.0,1.0
 Aygo,2015,6778,Semi-Auto,42328,Petrol,0,67.0,1.0
 Aygo,2018,8275,Manual,13546,Petrol,150,56.5,1.0
 Aygo,2017,7976,Manual,8493,Petrol,0,68.9,1.0
 Aygo,2018,8306,Manual,12597,Petrol,145,68.9,1.0
 Aygo,2016,7695,Semi-Auto,41515,Petrol,0,67.0,1.0
 Aygo,2016,7500,Manual,13908,Petrol,0,69.0,1.0
 Aygo,2018,6895,Manual,36916,Petrol,145,69.0,1.0
 Aygo,2018,8550,Manual,13658,Petrol,145,56.5,1.0
 Aygo,2019,9450,Manual,3083,Petrol,145,57.7,1.0
 Aygo,2019,9450,Manual,1749,Petrol,145,57.7,1.0
 Aygo,2019,8995,Manual,1202,Petrol,145,57.7,1.0
 Aygo,2019,9450,Manual,2963,Petrol,145,57.7,1.0
 Aygo,2019,9450,Manual,3335,Petrol,145,57.7,1.0
 Aygo,2018,8412,Manual,18000,Petrol,145,68.9,1.0
 Aygo,2019,10067,Automatic,9248,Petrol,145,55.4,1.0
 Aygo,2017,10299,Semi-Auto,8110,Petrol,145,67.3,1.0
 Aygo,2013,4450,Manual,21916,Petrol,0,65.7,1.0
 Aygo,2016,6995,Manual,18512,Petrol,0,69.0,1.0
 Aygo,2015,6249,Manual,18040,Petrol,0,69.0,1.0
 Aygo,2017,8650,Semi-Auto,5893,Petrol,145,67.0,1.0
 Aygo,2019,8950,Manual,4321,Petrol,145,56.5,1.0
 Aygo,2019,9850,Manual,4282,Petrol,145,57.7,1.0
 Aygo,2018,8495,Manual,11719,Petrol,145,68.9,1.0
 Aygo,2019,10800,Manual,25,Petrol,145,56.5,1.0
 Aygo,2017,6995,Manual,24591,Petrol,145,69.0,1.0
 Aygo,2016,5950,Manual,36189,Petrol,0,69.0,1.0
 Aygo,2019,8450,Manual,11694,Petrol,145,56.5,1.0
 Aygo,2017,6950,Manual,9697,Petrol,145,69.0,1.0
 Aygo,2019,8950,Manual,9484,Petrol,145,57.7,1.0
 Aygo,2019,8950,Manual,3621,Petrol,145,56.5,1.0
 Aygo,2017,7850,Manual,10523,Petrol,0,69.0,1.0
 Aygo,2019,9450,Manual,1762,Petrol,145,56.5,1.0
 Aygo,2019,9275,Manual,4664,Petrol,145,56.5,1.0
 Aygo,2018,8250,Manual,8960,Petrol,145,68.9,1.0
 Aygo,2018,7950,Manual,19266,Petrol,145,68.9,1.0
 Aygo,2017,7550,Manual,22095,Petrol,0,69.0,1.0
 Aygo,2019,8995,Manual,729,Petrol,145,56.5,1.0
 Aygo,2019,10950,Automatic,2985,Petrol,145,55.4,1.0
 Aygo,2019,9450,Manual,647,Petrol,145,57.7,1.0
 Aygo,2019,10250,Manual,27,Petrol,145,57.7,1.0
 Aygo,2016,6950,Manual,22502,Petrol,0,69.0,1.0
 Aygo,2018,7750,Manual,9249,Petrol,150,56.5,1.0
 Aygo,2019,9450,Manual,6004,Petrol,150,57.7,1.0
 Aygo,2017,8475,Manual,6736,Petrol,150,68.9,1.0
 Aygo,2017,7250,Manual,31065,Petrol,150,68.9,1.0
 Aygo,2018,8950,Manual,13079,Petrol,150,56.5,1.0
 Aygo,2019,8625,Manual,2099,Petrol,145,56.5,1.0
 Aygo,2019,8350,Manual,3641,Petrol,145,56.5,1.0
 Aygo,2017,7450,Manual,10512,Petrol,150,68.9,1.0
 Aygo,2017,6750,Manual,10632,Petrol,150,69.0,1.0
 Aygo,2017,7800,Manual,15512,Petrol,150,68.9,1.0
 Aygo,2017,6250,Manual,28261,Petrol,150,69.0,1.0
 Aygo,2018,7250,Manual,10121,Petrol,150,69.0,1.0
 Aygo,2019,9450,Manual,759,Petrol,145,57.7,1.0
 Aygo,2016,7495,Manual,14700,Petrol,0,69.0,1.0
 Aygo,2018,7495,Manual,18720,Petrol,145,68.9,1.0
 Aygo,2016,7440,Semi-Auto,15999,Petrol,0,67.0,1.0
 Aygo,2017,7850,Manual,32750,Petrol,145,68.9,1.0
 Aygo,2019,8990,Manual,1500,Petrol,145,56.5,1.0
 Aygo,2019,10295,Semi-Auto,32943,Petrol,150,55.4,1.0
 Aygo,2017,6750,Manual,17322,Petrol,0,69.0,1.0
 Aygo,2018,9000,Manual,6039,Petrol,145,56.5,1.0
 Aygo,2018,8500,Manual,2300,Petrol,145,56.5,1.0
 Aygo,2016,7350,Manual,31183,Petrol,0,69.0,1.0
 Aygo,2016,8550,Manual,20680,Petrol,0,69.0,1.0
 Aygo,2015,6790,Manual,30855,Petrol,0,69.0,1.0
 Aygo,2018,10295,Semi-Auto,9000,Petrol,150,56.5,1.0
 Aygo,2014,5995,Manual,33015,Petrol,0,69.0,1.0
 Aygo,2014,5515,Manual,22672,Petrol,0,65.7,1.0
 Aygo,2015,6995,Manual,42324,Petrol,0,69.0,1.0
 Aygo,2018,9495,Semi-Auto,24007,Petrol,145,67.3,1.0
 Aygo,2018,8995,Manual,8488,Petrol,145,68.9,1.0
 Aygo,2018,8655,Manual,4000,Petrol,145,56.5,1.0
 Aygo,2019,9245,Manual,6619,Petrol,145,57.7,1.0
 Aygo,2020,10785,Semi-Auto,4589,Petrol,150,56.5,1.0
 Aygo,2018,7999,Manual,22000,Petrol,145,68.9,1.0
 Aygo,2017,8995,Manual,3028,Petrol,145,68.9,1.0
 Aygo,2017,7995,Manual,20858,Petrol,145,68.9,1.0
 Aygo,2016,7995,Manual,10439,Petrol,0,69.0,1.0
 Aygo,2019,10491,Semi-Auto,6900,Petrol,145,55.4,1.0
 Aygo,2014,5777,Manual,43000,Petrol,0,69.0,1.0
 Aygo,2020,10400,Manual,4578,Petrol,150,56.5,1.0
 Aygo,2018,9291,Semi-Auto,11503,Petrol,150,67.0,1.0
 Aygo,2019,9990,Semi-Auto,4695,Petrol,145,55.4,1.0
 Aygo,2019,9790,Manual,6546,Petrol,145,57.7,1.0
 Aygo,2017,7391,Manual,22349,Petrol,0,68.9,1.0
 Aygo,2019,10200,Semi-Auto,7631,Petrol,145,55.4,1.0
 Aygo,2015,7495,Semi-Auto,15944,Petrol,0,67.0,1.0
 Aygo,2017,8495,Semi-Auto,7604,Petrol,0,67.0,1.0
 Aygo,2019,10851,Semi-Auto,2794,Petrol,145,56.5,1.0
 Aygo,2017,6151,Manual,34162,Petrol,0,69.0,1.0
 Aygo,2014,5979,Manual,59382,Petrol,0,69.0,1.0
 Aygo,2017,7995,Manual,11971,Petrol,0,68.9,1.0
 Aygo,2016,7100,Manual,6425,Petrol,0,69.0,1.0
 Aygo,2016,7700,Manual,24681,Petrol,0,69.0,1.0
 Aygo,2019,9790,Manual,3500,Petrol,145,56.5,1.0
 Aygo,2017,7495,Manual,11647,Petrol,0,68.9,1.0
 Aygo,2019,10995,Manual,1000,Petrol,145,56.5,1.0
 Aygo,2017,7295,Manual,19307,Petrol,145,68.9,1.0
 Aygo,2014,6300,Manual,22014,Petrol,0,69.0,1.0
 Aygo,2017,6790,Manual,10293,Petrol,145,69.0,1.0
 Aygo,2015,6599,Manual,15449,Petrol,0,69.0,1.0
 Aygo,2013,4695,Manual,36475,Petrol,0,65.7,1.0
 Aygo,2010,3500,Manual,42300,Petrol,20,62.8,1.0
 Aygo,2016,7059,Manual,21494,Petrol,0,69.0,1.0
 Aygo,2016,5125,Manual,40630,Petrol,0,69.0,1.0
 Aygo,2017,8890,Automatic,21890,Other,0,67.3,1.0
 Aygo,2019,9850,Manual,5000,Petrol,145,56.5,1.0
 Aygo,2016,8190,Automatic,6999,Other,0,67.0,1.0
 Aygo,2017,8590,Automatic,5381,Other,145,67.0,1.0
 Aygo,2017,9791,Automatic,18228,Other,145,67.3,1.0
 Aygo,2019,10390,Manual,3000,Petrol,145,57.7,1.0
 Aygo,2017,9350,Automatic,6485,Other,145,67.3,1.0
 Aygo,2019,11000,Automatic,3012,Other,145,55.4,1.0
 Aygo,2017,9495,Automatic,23378,Other,150,67.3,1.0
 Aygo,2018,8491,Manual,8000,Petrol,145,56.5,1.0
 Aygo,2017,7290,Manual,15075,Petrol,145,69.0,1.0
 Aygo,2017,9990,Automatic,7189,Other,0,67.3,1.0
 Aygo,2017,7990,Manual,17915,Petrol,145,68.9,1.0
 Aygo,2017,9450,Automatic,7235,Other,0,67.3,1.0
 Aygo,2017,8690,Manual,2908,Petrol,0,68.9,1.0
 Aygo,2016,6275,Manual,43491,Other,0,69.0,1.0
 C-HR,2017,20500,Automatic,26779,Hybrid,0,74.3,1.8
 C-HR,2017,20500,Automatic,18079,Hybrid,0,74.3,1.8
 C-HR,2018,20995,Automatic,23406,Hybrid,140,74.3,1.8
 C-HR,2019,22498,Automatic,17288,Hybrid,135,74.3,1.8
 C-HR,2019,22498,Automatic,14893,Hybrid,135,74.3,1.8
 C-HR,2017,13998,Manual,24612,Petrol,145,47.9,1.2
 C-HR,2017,16498,Manual,22957,Petrol,150,47.1,1.2
 C-HR,2017,18998,Automatic,24773,Hybrid,135,74.3,1.8
 C-HR,2018,21998,Automatic,9501,Hybrid,135,74.3,1.8
 C-HR,2019,22498,Automatic,16690,Hybrid,135,74.3,1.8
 C-HR,2019,23998,Automatic,9228,Hybrid,135,74.3,1.8
 C-HR,2017,15998,Manual,32770,Petrol,150,47.1,1.2
 C-HR,2017,16998,Automatic,24717,Hybrid,0,74.3,1.8
 C-HR,2018,22095,Automatic,10472,Hybrid,135,74.3,1.8
 C-HR,2019,27295,Automatic,1748,Hybrid,135,74.3,1.8
 C-HR,2018,23495,Automatic,11882,Hybrid,135,74.3,1.8
 C-HR,2018,22995,Automatic,14494,Hybrid,135,74.3,1.8
 C-HR,2017,16795,Manual,17530,Petrol,145,47.1,1.2
 C-HR,2017,17998,Automatic,8001,Petrol,145,47.9,1.2
 C-HR,2017,17998,Automatic,19524,Hybrid,140,74.3,1.8
 C-HR,2017,19998,Automatic,16752,Hybrid,140,74.3,1.8
 C-HR,2017,21698,Automatic,16276,Hybrid,135,74.3,1.8
 C-HR,2018,17990,Automatic,14000,Petrol,145,47.9,1.2
 C-HR,2017,18798,Automatic,11387,Petrol,145,44.8,1.2
 C-HR,2017,19995,Automatic,30612,Hybrid,135,74.3,1.8
 C-HR,2017,21495,Automatic,13025,Hybrid,140,74.3,1.8
 C-HR,2017,17495,Automatic,21835,Petrol,165,44.8,1.2
 C-HR,2017,20495,Automatic,16990,Hybrid,135,74.3,1.8
 C-HR,2017,21495,Automatic,18628,Hybrid,135,74.3,1.8
 C-HR,2017,15695,Manual,22757,Petrol,150,47.1,1.2
 C-HR,2018,21500,Automatic,15386,Hybrid,135,74.3,1.8
